EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-4978740,Congestion,2,74,2020-12-31 14:32:00,2020-12-31 16:04:07,29.759514,-98.048691,,I-35 N,New Braunfels,TX
T-4978741,Accident,2,201,2020-12-31 14:46:43,2020-12-31 15:16:32,29.45401,-98.55069,703.0,Bandera Rd,San Antonio,TX
T-4978742,Accident,2,201,2020-12-31 14:49:39,2020-12-31 15:19:15,29.40871,-98.5895,,Castroville Rd,San Antonio,TX
T-4978743,Accident,3,201,2020-12-31 15:08:59,2020-12-31 16:00:03,29.345631,-98.516251,758.0,W Hutchins Pl,San Antonio,TX
T-4978744,Congestion,2,74,2020-12-31 14:51:00,2020-12-31 15:56:16,29.770592,-98.041229,,I-35 S,New Braunfels,TX
T-4978745,Broken-Vehicle,2,213,2020-12-31 15:40:16,2020-12-31 17:10:00,29.53241,-98.557083,3697.0,Colony Dr,San Antonio,TX
T-4978746,Accident,2,201,2020-12-31 15:41:44,2020-12-31 18:55:09,29.454432,-98.482491,,Stadium Dr,San Antonio,TX
T-4978747,Accident,2,201,2020-12-31 16:13:02,2020-12-31 18:36:37,29.519899,-98.480057,8848.0,N US Highway 281,San Antonio,TX
T-4978748,Congestion,1,75,2020-12-31 16:33:00,2020-12-31 19:09:14,29.755524,-98.051582,,I-35 N,New Braunfels,TX
T-4978749,Congestion,2,73,2020-12-31 16:19:00,2020-12-31 17:56:23,27.748306,-98.076668,,S Aransas St,Alice,TX
T-4978750,Congestion,2,71,2020-12-31 16:21:00,2020-12-31 17:54:22,29.45229,-98.406052,,Connally Loop,San Antonio,TX
T-4978751,Congestion,2,74,2020-12-31 17:11:00,2020-12-31 18:32:06,27.762945,-98.047356,2314.0,E Main St,Alice,TX
T-4978752,Congestion,1,71,2020-12-31 17:41:00,2020-12-31 19:16:10,29.602011,-98.539902,,TX-1604,San Antonio,TX
T-4978753,Congestion,1,71,2020-12-31 17:26:00,2020-12-31 18:39:07,26.094994,-98.200706,,S Cage Blvd,Pharr,TX
T-4978754,Congestion,1,72,2020-12-31 17:49:00,2020-12-31 18:44:12,29.435659,-98.706039,,Rousseau St,San Antonio,TX
T-4978757,Congestion,2,73,2020-12-31 18:05:00,2020-12-31 18:56:14,27.74872,-98.074402,99.0,S Wright St,Alice,TX
T-4978758,Congestion,2,73,2020-12-31 18:05:00,2020-12-31 19:02:14,27.764599,-98.044998,,E Main St,Alice,TX
T-4978761,Congestion,0,71,2020-12-31 18:10:00,2020-12-31 19:19:19,29.455858,-98.515182,,I-10 W,San Antonio,TX
T-4978762,Congestion,1,73,2020-12-31 18:28:00,2020-12-31 19:14:16,27.760178,-98.051331,1839.0,E Main St,Alice,TX
T-4978763,Congestion,0,71,2020-12-31 17:03:00,2020-12-31 19:28:12,29.356649,-98.525009,1964.0,SW Military Dr,San Antonio,TX
T-4978764,Congestion,1,72,2020-12-31 18:05:00,2020-12-31 21:00:18,29.433708,-98.71933,11442.0,Potranco Rd,San Antonio,TX
T-4978765,Congestion,1,72,2020-12-31 18:13:00,2020-12-31 22:28:16,29.49367,-98.704117,,W Loop 1604 N,San Antonio,TX
T-4978766,Congestion,2,73,2020-12-31 18:51:00,2020-12-31 19:42:19,27.764021,-98.045837,2414.0,E Main St,Alice,TX
T-4978767,Congestion,2,72,2020-12-31 19:15:00,2020-12-31 20:19:07,27.74852,-98.075523,98.0,S King St,Alice,TX
T-4978768,Congestion,1,71,2020-12-31 16:22:00,2020-12-31 20:07:12,29.42507,-98.471779,1699.0,E Houston St,San Antonio,TX
T-4978769,Congestion,1,74,2020-12-31 19:45:00,2020-12-31 20:30:20,27.746019,-98.090508,,S Duval St,Alice,TX
T-4978770,Congestion,1,74,2020-12-31 19:49:00,2020-12-31 20:30:20,27.756584,-98.05645,1565.0,E Main St,Alice,TX
T-4978771,Accident,3,241,2020-12-31 19:51:14,2020-12-31 20:53:45,29.445477,-98.514931,,I-10 E,San Antonio,TX
T-4978772,Congestion,1,73,2020-12-31 20:01:00,2020-12-31 20:44:11,27.761843,-98.048943,2134.0,E Main St,Alice,TX
T-4978773,Congestion,1,74,2020-12-31 20:00:00,2020-12-31 20:43:16,29.572338,-98.593704,,I-10 W,San Antonio,TX
T-4978774,Congestion,1,74,2020-12-31 20:01:00,2020-12-31 21:00:18,29.59952,-97.933502,,I-10 W,Seguin,TX
T-4978775,Congestion,1,72,2020-12-31 18:59:00,2020-12-31 21:46:10,29.435699,-98.699753,10637.0,Potranco Rd,San Antonio,TX
